Japanese,English
iku,go 
miru,see 
ooi,a lot of 
ie,home 
kore,this 
sore,that
watashi,I 
shigoto,work 
itsu,when 
suru,do 
deru,go out 
tsukau,use 
tokoro,place 
tsukuru,make 
omou,think 
motsu,have 
kau,buy 
jikan,time 
shiru,know 
onaji,same 
ima,now 
atarashii,new 
naru,become 
mada,(not) yet 
ato,after 
kiku,hear 
iu,say 
sukunai,few 
takai,high 
kodomo,child 
sou,so 
mou,already 
gakusei,student 
atsui,hot (to touch) 
douzo,please 
gogo,afternoon 
nagai,long 
hon,book 
kotoshi,this year
yoku,often 
kanojo,she 
dou,how 
kotoba,word 
kao,face 
owaru,finish 
hitotsu,one (thing) 
ageru,give 
kou,like this 
gakkou,school 
kureru,be given 
hajimeru,start (something) 
okiru,get up 
haru,spring 
gozen,morning 
betsu,another 
doko,where 
heya,room 
wakai,young 
kuruma,car 
oku,put 
sumu,live 
hataraku,work 
muzukashii,difficult 
sensei,teacher 
tatsu,stand 
yobu,call 
daigaku,university 
yasui,cheap 
motto,more 
kaeru,go back home 
wakaru,understand 
hiroi,wide 
suu,number 
chikai,near 
soko,there 
hashiru,run 
ireru,put in 
oshieru,teach 
aruku,walk 
au,meet 
kaku,write 
atama,head 
uru,sell 
daisuki,like (something) a lot
karada,body 
sugu,at once 
tobu,fly 
totemo,very (colloquial) 
dare,who 
suki,favorite 
yomu,read 
tsugi,next 
anata,you 
nomu,drink 
furui,old 
shitsumon,question 
kyou,today (colloquial) 
tomodachi,friend 
hayai,early 
dore,what 
utsukushii,beautiful 
itsumo,always (colloquial) 
ashi,leg 
okosu,wake (someone) up 
miseru,show 
musume,daughter 
tanoshimu,enjoy 
iro,color 
minna,everybody (colloquial) 
toru,take 
benkyou,study 
dekiru,can do 
mijikai,short 
ochiru,fall 
musuko,son 
shiroi,white 
hikouki,airplane 
byouki,illness 
fuyu,winter 
toshi,year 
omoi,heavy 
mune,chest 
harau,pay (money 
karui,light (of weight) 
mitsukeru,find 
wasureru,forget 
sake,alcohol 
dochira,which (polite) 
ane,(one’s own) older sister 
oboeru,memorize 
semai,narrow 
akai,red 
kiru,wear 
warau,laugh 
ichiban,most 
jugyou,class session 
shuu,week 
kanji,Chinese character 
jitensha,bicycle 
densha,train 
sagasu,search for 
